candidate_id,action_type,task_id,activity_id,activity_name,wbs_path,category,current_remaining_days,proposed_remaining_days,nominal_reduction_days,individual_shadow_gain_days,confidence,risk,priority_score,strategy,validation,resource_names,relationship,notes
UML-0176,LAG_OPTIMIZATION,238388,CON-B01-9TH-1080,Dismantling Formwork (B01) (RF),ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > Roof Floor,learned_cluster_1,1.0,1.0,2.5,2.5,medium,medium,225.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-9TH-1070 -> CON-B01-9TH-1080 (PR_FS, 5.00d)",Generated from native relationship statistics.
UML-0038,DURATION_COMPRESSION,238340,CON-B01-1ST-1050,"RFT for Slabs, Beams & Stairs(B01) (1st)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 1st  Floor,learned_cluster_1,12.0,9.6,2.4,2.4,high,medium,249.553,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0027,DURATION_COMPRESSION,238349,CON-B01-2ND-1050,"RFT for Slabs, Beams & Stairs (B01) (2nd)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 2nd   Floor,learned_cluster_1,8.0,5.6,2.4,2.4,high,high,249.092,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0068,DURATION_COMPRESSION,238029,CON-B01-BAS01-1020,"Shuttering for Walls, Col. & Cores (B01) (Bas 01)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Substructure > Basement 1,learned_cluster_1,12.0,9.6,2.4,2.4,high,medium,247.276,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Carpenter for concrete; the big cash; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0008,DURATION_COMPRESSION,238367,CON-B01-4TH-1050,"RFT for Slabs, Beams & Stairs (B01) (4th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 4th   Floor,learned_cluster_1,12.0,9.6,2.4,2.4,high,medium,245.171,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0135,DURATION_COMPRESSION,238355,CON-B01-3RD-1020,"Shuttering for Walls, Col. & Cores (B01) (3rd)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 3rd   Floor,learned_cluster_1,7.0,4.9,2.1,2.1,high,high,215.829,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Carpenter for concrete; the big cash; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0050,DURATION_COMPRESSION,238033,CON-B01-BAS01-1060,RFT for Slabs & Beams (B01) (Bas 01),ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Substructure > Basement 1,learned_cluster_1,10.0,8.0,2.0,2.0,high,medium,212.079,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0020,DURATION_COMPRESSION,237962,CON-B01-BAS02-1070,RFT for Slabs & Beams (B01) (Bas 02),ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Substructure > Basement 2,learned_cluster_1,10.0,8.0,2.0,2.0,high,medium,211.605,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0081,DURATION_COMPRESSION,238331,CON-B01-8TH-1050,"RFT for Slabs, Beams & Stairs (B01) (8th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 8th   Floor,learned_cluster_1,8.0,5.6,2.4,2.0,high,high,206.592,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0110,DURATION_COMPRESSION,238358,CON-B01-3RD-1050,"RFT for Slabs, Beams & Stairs (B01) (3rd)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 3rd   Floor,learned_cluster_1,10.0,8.0,2.0,2.0,high,medium,205.632,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0126,DURATION_COMPRESSION,238364,CON-B01-4TH-1020,"Shuttering for Walls, Col. & Cores (B01) (4th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 4th   Floor,learned_cluster_1,7.0,4.9,2.1,2.0,high,high,205.368,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Carpenter for concrete; the big cash; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0065,DURATION_COMPRESSION,239234,HO-1010,Snag list for B01,ROYA-BIG PROJECT PHASE01 (B1-4) > Handover > Handover Works,learned_cluster_0,10.0,8.0,2.0,2.0,medium,medium,203.132,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",,,Project-local semantic cluster 0; no project-specific activity dictionary used.
UML-0154,LAG_OPTIMIZATION,238334,CON-B01-8TH-1080,Dismantling Formwork (B01) (8th),ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 8th   Floor,learned_cluster_1,1.0,1.0,5.0,2.0,medium,medium,180.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-8TH-1070 -> CON-B01-8TH-1080 (PR_FS, 10.00d)",Generated from native relationship statistics.
UML-0155,LAG_OPTIMIZATION,238340,CON-B01-1ST-1050,"RFT for Slabs, Beams & Stairs(B01) (1st)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 1st  Floor,learned_cluster_1,12.0,12.0,2.0,2.0,medium,medium,180.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-1ST-1040 -> CON-B01-1ST-1050 (PR_SS, 4.00d)",Generated from native relationship statistics.
UML-0158,LAG_OPTIMIZATION,238349,CON-B01-2ND-1050,"RFT for Slabs, Beams & Stairs (B01) (2nd)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 2nd   Floor,learned_cluster_1,8.0,8.0,2.0,2.0,medium,medium,180.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-2ND-1040 -> CON-B01-2ND-1050 (PR_SS, 4.00d)",Generated from native relationship statistics.
UML-0163,LAG_OPTIMIZATION,238358,CON-B01-3RD-1050,"RFT for Slabs, Beams & Stairs (B01) (3rd)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 3rd   Floor,learned_cluster_1,10.0,10.0,2.0,2.0,medium,medium,180.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-3RD-1040 -> CON-B01-3RD-1050 (PR_SS, 4.00d)",Generated from native relationship statistics.
UML-0168,LAG_OPTIMIZATION,238367,CON-B01-4TH-1050,"RFT for Slabs, Beams & Stairs (B01) (4th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 4th   Floor,learned_cluster_1,12.0,12.0,2.0,2.0,medium,medium,180.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-4TH-1040 -> CON-B01-4TH-1050 (PR_SS, 4.00d)",Generated from native relationship statistics.
UML-0173,LAG_OPTIMIZATION,238376,CON-B01-5TH-1050,"RFT for Slabs, Beams & Stairs (B01) (5th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 5th  Floor,learned_cluster_1,9.0,9.0,2.0,2.0,medium,medium,180.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-5TH-1040 -> CON-B01-5TH-1050 (PR_SS, 4.00d)",Generated from native relationship statistics.
UML-0186,LAG_OPTIMIZATION,238313,CON-B01-6TH-1050,"RFT for Slabs, Beams & Stairs (B01) (6th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 6th   Floor,learned_cluster_1,9.0,9.0,2.0,2.0,medium,medium,180.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-6TH-1040 -> CON-B01-6TH-1050 (PR_SS, 4.00d)",Generated from native relationship statistics.
UML-0188,LAG_OPTIMIZATION,238325,CON-B01-7TH-1080,Dismantling Formwork (B01) (7th),ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 7th   Floor,learned_cluster_1,1.0,1.0,5.0,2.0,medium,medium,180.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-7TH-1070 -> CON-B01-7TH-1080 (PR_FS, 10.00d)",Generated from native relationship statistics.
UML-0046,DURATION_COMPRESSION,239266,F-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),ROYA-BIG PROJECT PHASE01 (B1-4) > Event02-New IFC issued > Affected-Activities-Submission > B01 > Basement02,learned_cluster_0,18.0,16.2,1.8,1.8,medium,medium,189.803,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",,,Project-local semantic cluster 0; no project-specific activity dictionary used.
UML-0083,DURATION_COMPRESSION,238376,CON-B01-5TH-1050,"RFT for Slabs, Beams & Stairs (B01) (5th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 5th  Floor,learned_cluster_1,9.0,7.2,1.8,1.8,high,medium,187.711,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0053,DURATION_COMPRESSION,238313,CON-B01-6TH-1050,"RFT for Slabs, Beams & Stairs (B01) (6th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 6th   Floor,learned_cluster_1,9.0,7.2,1.8,1.8,high,medium,187.25,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0128,DURATION_COMPRESSION,238322,CON-B01-7TH-1050,"RFT for Slabs, Beams & Stairs (B01) (7th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 7th   Floor,learned_cluster_1,9.0,7.2,1.8,1.8,high,medium,186.921,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0026,DURATION_COMPRESSION,238349,CON-B01-2ND-1050,"RFT for Slabs, Beams & Stairs (B01) (2nd)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 2nd   Floor,learned_cluster_1,8.0,6.4,1.6,1.6,high,medium,169.092,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0080,DURATION_COMPRESSION,238331,CON-B01-8TH-1050,"RFT for Slabs, Beams & Stairs (B01) (8th)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 8th   Floor,learned_cluster_1,8.0,6.4,1.6,1.6,high,medium,166.592,ML candidate: compress remaining duration by a learned what-if ratio; implementation mechanism is selected from actual project resources/work methods during P6 review.,"Validate productivity, crew/equipment capacity, access, QA/QC, HSE, procurement and calendar feasibility before native P6 implementation.",Steel Fixer; the big cash; Big Quantity RFT; Labor,,Project-local semantic cluster 1; no project-specific activity dictionary used.
UML-0139,LAG_OPTIMIZATION,238029,CON-B01-BAS01-1020,"Shuttering for Walls, Col. & Cores (B01) (Bas 01)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Substructure > Basement 1,learned_cluster_1,12.0,12.0,1.5,1.5,medium,medium,135.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-BAS01-1010 -> CON-B01-BAS01-1020 (PR_SS, 3.00d)",Generated from native relationship statistics.
UML-0161,LAG_OPTIMIZATION,238354,CON-B01-3RD-1010,"RFT for Walls, Col. & Cores (B01) (3rd)",ROYA-BIG PROJECT PHASE01 (B1-4) > Construction > Part 02 > B01 > Superstructure > 3rd   Floor,learned_cluster_1,7.0,7.0,1.5,1.5,medium,medium,135.0,ML candidate: reduce a positive relationship lag after verifying its physical/contractual basis; prefer replacing hidden waiting time with explicit logic when appropriate.,"Do not reduce any mandatory technical, contractual, regulatory or acceptance waiting requirement without project evidence.",,"CON-B01-3RD-1000 -> CON-B01-3RD-1010 (PR_SS, 3.00d)",Generated from native relationship statistics.
