change_type,activity_id,activity_name,old_value_days,new_value_days,implementation
REMAINING_DURATION,CON-B04-7TH-1070,"Curing for Slabs, Beams & Stairs (B04) (7th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B04-8TH-1070,"Curing for Slabs, Beams & Stairs (B04) (8th)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B04-RF-1070,"Curing for Slabs, Beams  (B04) (RF)",3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-GR-1040,Shuttering for Slabs & Beams (B01) (GR),8.0,6.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,123456,Curing for Ramps & Stairs (B01) (Bas 02),3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,CON-B01-BAS01-1150,Curing for  Ramps & Stairs (B01) (Bas 01),3.0,2.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,AB-SUB-B01-RF-1010,Submittal for Slabs Conc. Dim.  & RFT DWGs As-Built Drawing (B01) (RF),18.0,13.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,AB-SUB-B01-RF-1020,Submittal for Beams Conc. Dim.  & RFT DWGs As-Built Drawing (B01) (RF),18.0,13.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,AB-APP-B01-RF-1010,Approval for Slabs Conc. Dim.  & RFT DWGs As-Built Drawing (B01) (RF),12.0,10.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,AB-APP-B01-RF-1020,Approval for Beams Conc. Dim.  & RFT DWGs As-Built Drawing (B01) (RF),12.0,10.0,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,F-SUB-B01-BAS02-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (Bas 02),18.0,13.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,F-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),18.0,13.5,Change only after approved productivity/resource/method validation; then schedule natively in P6.
REMAINING_DURATION,F-ENG-IFC-DLY01,Duration of resubmission of the re-worked shop-drawings,59.0,44.25,Change only after approved productivity/resource/method validation; then schedule natively in P6.
