source_table,source_path,row_order,project_id,Activity ID,Activity Name,Original Duration,Start,Finish,Approved structural slab shop drawings,Re-Start,Finish.1,Delayed days,Note,RFI,Submittion date,Reply,Delay beyond 10d,risk_id,risk_title,risk_category,probability,time_impact_days,cost_impact,response_strategy,owner,status,due_date
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,1,Nasr city-Tunnel,NCT-ENG-CLB-2010,Structural and embedded-services coordination for Chlorination Building,14,22-Jan-26,5-Feb-26,18-Feb-26,20-Feb-26,6-Mar-26,13,Revised chemical trench and sleeve details delayed final reinforcement release; synthetic data only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,2,Nasr city-Tunnel,NCT-ENG-PMP-2020,Bearing pedestal and anchor-bolt details for Main Pump Hall,18,10-Feb-26,28-Feb-26,20-Mar-26,23-Mar-26,10-Apr-26,20,Revised pump-base geometry required before raft reinforcement closure; synthetic data only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,3,Nasr city-Tunnel,NCT-ENG-CLR-2030,Clarifier base slab waterstop and pipe penetration details,21,1-Mar-26,22-Mar-26,19-Apr-26,21-Apr-26,12-May-26,28,Final IFC resolved conflicting waterstop and embedded-pipe locations; synthetic data only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,4,Nasr city-Tunnel,NCT-ENG-FLT-2040,Filter Gallery wall opening and sleeve coordination,16,20-Mar-26,5-Apr-26,16-May-26,18-May-26,3-Jun-26,41,Late coordinated opening schedule affected wall reinforcement sequence; synthetic data only,,,,,,,,,,,,,,
07-ifc_conflict,02-delay_analysis/unified_tia_csv/07-ifc_conflict.csv,5,Nasr city-Tunnel,NCT-ENG-RES-2050,Reservoir wall joint and waterbar details,14,8-Apr-26,22-Apr-26,27-Jun-26,30-Jun-26,14-Jul-26,66,Revised construction-joint arrangement delayed the planned reservoir wall start; synthetic data only,,,,,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,1,Nasr city-Tunnel,NCT-ST-CLB-RFT-1100,Raft reinforcement for Chlorination Building,,,,,,,,Chemical trench reinforcement and sleeve arrangement required before final fixing,NCT-RFI-STR-021,25-Jan-26,18-Feb-26,14,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,2,Nasr city-Tunnel,NCT-ST-PMP-RFT-1200,Raft reinforcement for Main Pump Hall,,,,,,,,Pump-base bearing pedestal dimensions required before raft closure,NCT-RFI-STR-026,11-Feb-26,20-Mar-26,27,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,3,Nasr city-Tunnel,NCT-ST-CLR-RFT-1300,Base slab reinforcement for Clarifier No. 1,,,,,,,,Waterstop and embedded-pipe conflict required coordinated IFC response,NCT-RFI-STR-031,4-Mar-26,19-Apr-26,36,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,4,Nasr city-Tunnel,NCT-ST-FLT-RFT-1400,Wall reinforcement for Filter Gallery,,,,,,,,Filter wall opening schedule required before reinforcement inspection,NCT-RFI-STR-038,27-Mar-26,16-May-26,40,,,,,,,,,,
09-rfi_status,02-delay_analysis/unified_tia_csv/09-rfi_status.csv,5,Nasr city-Tunnel,NCT-ST-RES-RFT-1500,Wall reinforcement for Treated Water Reservoir,,,,,,,,Reservoir construction-joint and waterbar detail remained unresolved,NCT-RFI-STR-044,15-Apr-26,27-Jun-26,63,,,,,,,,,,
