"Feature","Category","Status","Confidence","Score","BusinessValue","PackageEvidence","KeywordEvidence","EvidenceFileCount","EvidenceFiles","VerificationNeeded"
"Charts and Visualization","Analytics","Evidenced","Medium","59","Transforms data into management-ready visual analysis.","","chart; plotly","26","public\data\portfolio.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; public\generated\LMD-Bridgs\01_executive_dashboard.html; public\generated\LMD-Bridgs\02_master_dashboard.html; public\generated\LMD-Bridgs\03_elite_svg_charts.html; public\generated\LMD-Bridgs\04_linked_executive_dashboard.html; public\generated\Sophia-Mall\01_executive_dashboard.html; public\generated\Sophia-Mall\02_master_dashboard.html; public\generated\Sophia-Mall\03_elite_svg_charts.html","Verify the complete UI-to-output workflow."
"Testing and QA","Engineering","Evidenced","Medium","59","Provides automated quality and regression protection.","","playwright; it(","10","package-lock.json; src\app\api\analyze-contract\route.ts; src\app\api\analyze-delay\route.ts; src\app\api\analyze-letters\route.ts; src\app\api\ask-ai\route.ts; src\app\api\intelligence\search\route.ts; src\app\api\summarize-project\route.ts; src\app\api\technical-knowledge\ask\route.ts; src\lib\ai\env.ts; src\lib\ai\rate-limit.ts","Verify the complete UI-to-output workflow."
"Document Intelligence","Artificial Intelligence","Evidenced","Medium","52","Reads, extracts, analyzes, or retrieves evidence from documents.","","pdf","8","package-lock.json; public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; src\app\page.tsx","Verify the complete UI-to-output workflow."
"Database / Persistent Storage","Platform","Evidenced","Medium","52","Stores application records, users, projects, and operational data.","","database","7","public\data\portfolio.json; public\data\technical_question_bank.json; public\data\projects\lmd-bridge.json; public\data\projects\sophia-mall.json; public\data\projects\suez-tunnel.json; public\data\projects\the-big-p-01-up-20-april-26.json; src\app\page.tsx","Verify the complete UI-to-output workflow."
"Role-Based Access Control","Security","Evidenced","Medium","46","Restricts data and features according to role.","","permission; authorize","4","public\data\technical_question_bank.json; src\app\page.tsx; src\lib\ai\groq.ts; src\lib\ai\openai.ts","Verify the complete UI-to-output workflow."
"Meetings / MOM / Recorder","Communication","Evidenced","Medium","38","Supports recordings, transcripts, action items, and meeting minutes.","","mom; microphone","3","package-lock.json; public\generated\The-BIG-PH01\02_master_dashboard.html; src\app\page.tsx","Verify the complete UI-to-output workflow."
"Authentication","Platform","Possible / Partial","Low","30","Controls user identity, sessions, and protected access.","","jwt; session","2","package-lock.json; public\data\technical_question_bank.json","Confirm whether connected, functional, or planned."
"File Upload and Processing","Data","Possible / Partial","Low","15","Accepts files and processes project data or evidence.","","arrayBuffer","1","package-lock.json","Confirm whether connected, functional, or planned."
"Vercel Deployment","Deployment","Possible / Partial","Low","15","Uses Vercel hosting, serverless, edge, storage, or analytics.","","vercel","1","README.md","Confirm whether connected, functional, or planned."
"Observability / Monitoring","Engineering","Possible / Partial","Low","15","Tracks errors, application health, and operational behavior.","","telemetry","1","package-lock.json","Confirm whether connected, functional, or planned."
